Open Context URI,Item label,Project URI,Project name,Related person(s),Context (1),Context (2),Context (3),Context (4),Context (5),Context (6),Context URI,Latitude (WGS84),Longitude (WGS84),Early (Cal. BP),Late (Cal. BP),Has anatomical identification [URI],Has anatomical identification [Label],Has anatomical identification [Source value],Has fusion character [URI],Has fusion character [Label],Has fusion character [Source value],Has physiological sex determination [URI],Has physiological sex determination [Label],Has physiological sex determination [Source value],Has Biological Taxonomy [URI],Has Biological Taxonomy [Label],Has Biological Taxonomy [Source value],Has fusion character (distal) [URI],Has fusion character (distal) [Label],Has fusion character (distal) [Source value],Has fusion character (proximal) [URI],Has fusion character (proximal) [Label],Has fusion character (proximal) [Source value]
http://opencontext.org/subjects/77748B30-E132-485E-76BB-0349EF04D6D3,Bone 31023,http://opencontext.org/projects/D297CD29-50CA-4B2C-4A07-498ADF3AF487,Ilıpınar Zooarchaeology,Hijkle Buitenhuis,Turkey,Ilıpınar,Area 74,Lot 764,,,http://opencontext.org/subjects/99C222EA-FEA2-4692-70EB-364C8D3DE5C3,40.468303,29.309099,7750,7650,http://purl.obolibrary.org/obo/UBERON_0013588,fused metatarsal bones 3 and 4,metatarsus 3+4,,,,,,,http://eol.org/pages/328699,"Bos taurus Linnaeus, 1758",Bos taurus,http://opencontext.org/vocabularies/open-context-zooarch/zoo-0058,Distal epiphysis unfused,"Proximal: unknown, Distal: unfused",,,
http://opencontext.org/subjects/CFC62204-C4E2-4896-AE87-81EF791CCF3B,Bone 31024,http://opencontext.org/projects/D297CD29-50CA-4B2C-4A07-498ADF3AF487,Ilıpınar Zooarchaeology,Hijkle Buitenhuis,Turkey,Ilıpınar,Area 74,Lot 764,,,http://opencontext.org/subjects/99C222EA-FEA2-4692-70EB-364C8D3DE5C3,40.468303,29.309099,7750,7650,http://purl.obolibrary.org/obo/UBERON_0013630,short bone,os carpi or os tarsi,,,,,,,http://eol.org/pages/328699,"Bos taurus Linnaeus, 1758",Bos taurus,,,,,,
http://opencontext.org/subjects/A8685F23-6F4B-4698-8381-E8CBE0754D4C,Bone 31025,http://opencontext.org/projects/D297CD29-50CA-4B2C-4A07-498ADF3AF487,Ilıpınar Zooarchaeology,Hijkle Buitenhuis,Turkey,Ilıpınar,Area 74,Lot 764,,,http://opencontext.org/subjects/99C222EA-FEA2-4692-70EB-364C8D3DE5C3,40.468303,29.309099,7750,7650,http://purl.obolibrary.org/obo/UBERON_0003821,metapodium bone,main axis metapodium,,,,,,,http://eol.org/pages/328699,"Bos taurus Linnaeus, 1758",Bos taurus,,,,,,
http://opencontext.org/subjects/18DE2274-7678-4114-7AB6-9F0D4DAAEEC9,Bone 31026,http://opencontext.org/projects/D297CD29-50CA-4B2C-4A07-498ADF3AF487,Ilıpınar Zooarchaeology,Hijkle Buitenhuis,Turkey,Ilıpınar,Area 74,Lot 764,,,http://opencontext.org/subjects/99C222EA-FEA2-4692-70EB-364C8D3DE5C3,40.468303,29.309099,7750,7650,http://purl.obolibrary.org/obo/UBERON_0001474,bone,"fragment, long bone",,,,,,,http://eol.org/pages/1642,Mammalia,size- sheep/goat,,,,,,
http://opencontext.org/subjects/64934E36-ADC1-46A4-2157-753AACCA4952,Bone 31027,http://opencontext.org/projects/D297CD29-50CA-4B2C-4A07-498ADF3AF487,Ilıpınar Zooarchaeology,Hijkle Buitenhuis,Turkey,Ilıpınar,Area 74,Lot 764,,,http://opencontext.org/subjects/99C222EA-FEA2-4692-70EB-364C8D3DE5C3,40.468303,29.309099,7750,7650,http://purl.obolibrary.org/obo/UBERON_0001474,bone,"fragment, long bone",,,,,,,http://eol.org/pages/1642,Mammalia,size- sheep/goat,,,,,,
http://opencontext.org/subjects/AEEBB593-864C-4143-E5CC-7404F0C0F090,Bone 31028,http://opencontext.org/projects/D297CD29-50CA-4B2C-4A07-498ADF3AF487,Ilıpınar Zooarchaeology,Hijkle Buitenhuis,Turkey,Ilıpınar,Area 74,Lot 764,,,http://opencontext.org/subjects/99C222EA-FEA2-4692-70EB-364C8D3DE5C3,40.468303,29.309099,7750,7650,http://purl.obolibrary.org/obo/UBERON_0001474,bone,"fragment, long bone",,,,,,,http://eol.org/pages/1642,Mammalia,size- sheep/goat,,,,,,
http://opencontext.org/subjects/F7E053CB-BF24-46DD-C115-0219097DFD6A,Bone 31029,http://opencontext.org/projects/D297CD29-50CA-4B2C-4A07-498ADF3AF487,Ilıpınar Zooarchaeology,Hijkle Buitenhuis,Turkey,Ilıpınar,Area 74,Lot 764,,,http://opencontext.org/subjects/99C222EA-FEA2-4692-70EB-364C8D3DE5C3,40.468303,29.309099,7750,7650,http://purl.obolibrary.org/obo/UBERON_0001474,bone,"fragment, long bone",,,,,,,http://eol.org/pages/1642,Mammalia,size- cattle,,,,,,
http://opencontext.org/subjects/C928C54D-1AEC-4790-76C7-D1635B9C3281,Bone 31030,http://opencontext.org/projects/D297CD29-50CA-4B2C-4A07-498ADF3AF487,Ilıpınar Zooarchaeology,Hijkle Buitenhuis,Turkey,Ilıpınar,Area 74,Lot 764,,,http://opencontext.org/subjects/99C222EA-FEA2-4692-70EB-364C8D3DE5C3,40.468303,29.309099,7750,7650,http://purl.obolibrary.org/obo/UBERON_0001474,bone,"fragment, long bone",,,,,,,http://eol.org/pages/1642,Mammalia,size- cattle,,,,,,
http://opencontext.org/subjects/044E6A8A-26B5-44CA-A333-6D2345F3B753,Bone 31031,http://opencontext.org/projects/D297CD29-50CA-4B2C-4A07-498ADF3AF487,Ilıpınar Zooarchaeology,Hijkle Buitenhuis,Turkey,Ilıpınar,Area 74,Lot 764,,,http://opencontext.org/subjects/99C222EA-FEA2-4692-70EB-364C8D3DE5C3,40.468303,29.309099,7750,7650,http://purl.obolibrary.org/obo/UBERON_0001092,cervical vertebra 1,atlas,,,,,,,http://eol.org/pages/1642,Mammalia,Small ruminant (domestic),,,,,,
http://opencontext.org/subjects/D8A89351-46A2-4B47-229E-66316DBD56FA,Bone 31032,http://opencontext.org/projects/D297CD29-50CA-4B2C-4A07-498ADF3AF487,Ilıpınar Zooarchaeology,Hijkle Buitenhuis,Turkey,Ilıpınar,Area 74,Lot 764,,,http://opencontext.org/subjects/99C222EA-FEA2-4692-70EB-364C8D3DE5C3,40.468303,29.309099,7750,7650,http://purl.obolibrary.org/obo/UBERON_0002413,cervical vertebra,"vertebra, cervical",,,,,,,http://eol.org/pages/1642,Mammalia,size- boar to deer,,,,,,
