Project,Latitude,Longitude,Site,Start BCE,End BCE,Specimen Count,EOL URI,EOL Taxa Label,Analyst Taxanomic Designation (Source data)
Zooarchaeology of Karain Cave B,37.077589,30.5708,Karain B Cave,19800,19000,3571,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra
Zooarchaeology of Karain Cave B,37.077589,30.5708,Karain B Cave,19800,19000,900,http://eol.org/pages/11021638,Ovis orientalis,Ovis orientalis
Zooarchaeology of Karain Cave B,37.077589,30.5708,Karain B Cave,19800,19000,362,http://eol.org/pages/4447460,Capra aegagrus,Capra aegagrus
Zooarchaeology of Karain Cave B,37.077589,30.5708,Karain B Cave,19800,19000,101,http://eol.org/pages/695,Aves,Large bird; Medium bird; Small bird
Zooarchaeology of Karain Cave B,37.077589,30.5708,Karain B Cave,19800,19000,48,http://eol.org/pages/118009,Lepus europaeus,Lepus europaeus
Zooarchaeology of Karain Cave B,37.077589,30.5708,Karain B Cave,19800,19000,42,http://eol.org/pages/1049239,"Alectoris chukar (J. E. Gray, 1830)",Alectoris chukar
Zooarchaeology of Karain Cave B,37.077589,30.5708,Karain B Cave,19800,19000,21,http://eol.org/pages/8016,Accipitridae,Accipitridae
Zooarchaeology of Karain Cave B,37.077589,30.5708,Karain B Cave,19800,19000,18,http://eol.org/pages/915364,Otis tarda,Otis tarda
Zooarchaeology of Karain Cave B,37.077589,30.5708,Karain B Cave,19800,19000,11,http://eol.org/pages/313992,"Dama dama (Linnaeus, 1758)",Dama dama
Zooarchaeology of Karain Cave B,37.077589,30.5708,Karain B Cave,19800,19000,9,http://eol.org/pages/328607,"Canis lupus Linnaeus, 1758",Canis lupus
Zooarchaeology of Karain Cave B,37.077589,30.5708,Karain B Cave,19800,19000,9,http://eol.org/pages/328663,Sus scrofa,Sus scrofa
Zooarchaeology of Karain Cave B,37.077589,30.5708,Karain B Cave,19800,19000,7,http://eol.org/pages/328609,"Vulpes vulpes (Linnaeus, 1758)",Vulpes vulpes
Zooarchaeology of Karain Cave B,37.077589,30.5708,Karain B Cave,19800,19000,5,http://eol.org/pages/1642,Mammalia,Small mammal (rabbit to medium dog)
Zooarchaeology of Karain Cave B,37.077589,30.5708,Karain B Cave,19800,19000,5,http://eol.org/pages/328603,Lynx lynx,Lynx lynx
Zooarchaeology of Karain Cave B,37.077589,30.5708,Karain B Cave,19800,19000,4,http://eol.org/pages/11021570,Bos primigenius,Bos primigenius
Zooarchaeology of Karain Cave B,37.077589,30.5708,Karain B Cave,19800,19000,4,http://eol.org/pages/15610,Capreolus,Capreolus capreolus
Zooarchaeology of Karain Cave B,37.077589,30.5708,Karain B Cave,19800,19000,3,http://eol.org/pages/19149,Columba,Columba sp.
Zooarchaeology of Karain Cave B,37.077589,30.5708,Karain B Cave,19800,19000,1,http://eol.org/pages/328020,Martes martes,Martes martes
Zooarchaeology of Karain Cave B,37.077589,30.5708,Karain B Cave,19800,19000,1,http://eol.org/pages/328581,"Ursus arctos Linnaeus, 1758",Ursus arctos
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,19790,12900,2447,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,19790,12900,892,http://eol.org/pages/1642,Mammalia,Medium artiodactyl; Small mammal (rabbit size)
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,19790,12900,549,http://eol.org/pages/11021638,Ovis orientalis,Ovis orientalis
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,19790,12900,446,http://eol.org/pages/313992,"Dama dama (Linnaeus, 1758)",Dama dama
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,19790,12900,172,http://eol.org/pages/695,Aves,Large bird; Medium bird; Small bird
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,19790,12900,153,http://eol.org/pages/4447460,Capra aegagrus,Capra aegagrus
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,19790,12900,25,http://eol.org/pages/8677,Rodentia,Rodent
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,19790,12900,20,http://eol.org/pages/118009,Lepus europaeus,Lepus europaeus
