Open Context URI,Item label,Project URI,Project name,Related person(s),Context (1),Context (2),Context (3),Context (4),Context (5),Context URI,Latitude (WGS84),Longitude (WGS84),Early (Cal. BP),Late (Cal. BP),Right Horn Core (and Unknown Side) [Source],Left Horn Core [Source],Right Antler (and Unknown Side) [Source],Frontal [Source],Parietal [Source],Occipital [Source],Basiocc [Source],Sphenoid [Source],Petrous [Source],Temporal [Source],Zygo [Source],Lacrimal [Source],Nasal [Source],Maxilla [Source],Premaxilla [Source],Anterior Mandible [Source],Posterior Mandible [Source],Decidp1 [Source],Decidp2 [Source],Permi3 [Source],Permc [Source],Permp2 [Source],Permp3 [Source],Payne P3 [Source],Payne P4 [Source],Payne M1 [Source],Payne M2 [Source],Payne M3 [Source],Grant P3 [Source],Grant P4 [Source],Grant M1 [Source],Grant M2 [Source],Grant M3 [Source],Loose Tooth Type [Source],Loose Tooth Class [Source],Loose Tooth Number [Source],Loose Tooth Root [Source],Loose Tooth Wear [Source],Cranial Comments [Source]
http://opencontext.org/subjects/29F19FC7-AFCD-476D-CBA7-E22320648C65,Bone 9315,http://opencontext.org/projects/02594C48-7497-40D7-11AE-AB942DC513B8,Çatalhöyük Area TP Zooarchaeology,"Arek Marciniak, Kamilla Pawlowska",Turkey,Çatalhöyük,Mound East,Area TP,Unit 10902,http://opencontext.org/subjects/D208AFA6-105F-4291-CD39-FBA2308B3EB9,37.668196,32.827191,8150,7950,,,,,,,,,,,,,,,,Alveolar area,Indeterminate,,,,,,,,,,,,,,,,,Indeterminate,Indeterminate,Indeterminate,Indeterminate,,
http://opencontext.org/subjects/5C2091F7-74EF-48E2-E8C2-7FD45F8629DF,Bone 9316,http://opencontext.org/projects/02594C48-7497-40D7-11AE-AB942DC513B8,Çatalhöyük Area TP Zooarchaeology,"Arek Marciniak, Kamilla Pawlowska",Turkey,Çatalhöyük,Mound East,Area TP,Unit 10902,http://opencontext.org/subjects/D208AFA6-105F-4291-CD39-FBA2308B3EB9,37.668196,32.827191,8150,7950,,,,,,,,,,,,,,,,Indeterminate,Indeterminate,,,,,,,,,,,,,,,,,Upper permanent,Molar,2,Open,Moderate wear,
http://opencontext.org/subjects/43FAE373-B12B-44D4-8A1E-F6F4E70746E6,Bone 9321,http://opencontext.org/projects/02594C48-7497-40D7-11AE-AB942DC513B8,Çatalhöyük Area TP Zooarchaeology,"Arek Marciniak, Kamilla Pawlowska",Turkey,Çatalhöyük,Mound East,Area TP,Unit 10902,http://opencontext.org/subjects/D208AFA6-105F-4291-CD39-FBA2308B3EB9,37.668196,32.827191,8150,7950,,,,,,,,,,,,,,,,Alveolar area,Indeterminate,,,,,,,,,,,,,,,,,Indeterminate,Indeterminate,Indeterminate,Indeterminate,,
http://opencontext.org/subjects/F5ECE045-F436-4FF5-3DCE-9F2B43EDFBFE,Bone 9324,http://opencontext.org/projects/02594C48-7497-40D7-11AE-AB942DC513B8,Çatalhöyük Area TP Zooarchaeology,"Arek Marciniak, Kamilla Pawlowska",Turkey,Çatalhöyük,Mound East,Area TP,Unit 10902,http://opencontext.org/subjects/D208AFA6-105F-4291-CD39-FBA2308B3EB9,37.668196,32.827191,8150,7950,,,,Indeterminate,,,,,,,,,,,,Indeterminate,Indeterminate,,,,,,,,,,,,,,,,,Indeterminate,Indeterminate,Indeterminate,Indeterminate,,
http://opencontext.org/subjects/5B8B6959-C159-4908-52DA-59A6286D7A34,Bone 9379,http://opencontext.org/projects/02594C48-7497-40D7-11AE-AB942DC513B8,Çatalhöyük Area TP Zooarchaeology,"Arek Marciniak, Kamilla Pawlowska",Turkey,Çatalhöyük,Mound East,Area TP,Unit 10915,http://opencontext.org/subjects/69F401EE-6EA6-46C7-2576-4805FC73DCA1,37.668196,32.827191,8150,7950,,,,,,,,,,,,,,,,Indeterminate,Coronoid process area,,,,,,,,,,,,,,,,,Indeterminate,Indeterminate,Indeterminate,Indeterminate,,
http://opencontext.org/subjects/9B7037C1-B419-4C12-17DD-D2C6AD04FF37,Bone 9380,http://opencontext.org/projects/02594C48-7497-40D7-11AE-AB942DC513B8,Çatalhöyük Area TP Zooarchaeology,"Arek Marciniak, Kamilla Pawlowska",Turkey,Çatalhöyük,Mound East,Area TP,Unit 10915,http://opencontext.org/subjects/69F401EE-6EA6-46C7-2576-4805FC73DCA1,37.668196,32.827191,8150,7950,,,,,,,,,,,,,,,,Indeterminate,Indeterminate,,,,,,,,,,,,,,,,,Upper permanent,Molar,3,Indeterminate,Moderate wear,
http://opencontext.org/subjects/C81925D4-FE65-4050-31D4-42CB1022F0DB,Bone 9394,http://opencontext.org/projects/02594C48-7497-40D7-11AE-AB942DC513B8,Çatalhöyük Area TP Zooarchaeology,"Arek Marciniak, Kamilla Pawlowska",Turkey,Çatalhöyük,Mound East,Area TP,Unit 10925,http://opencontext.org/subjects/29A3A559-5658-409B-F3E5-8AB88770A153,37.668196,32.827191,8150,7950,,,,,,,,,,,,,,,,Indeterminate,Indeterminate,,,,,,,,,,,,,,,,,Indeterminate,Indeterminate,Indeterminate,Indeterminate,,
http://opencontext.org/subjects/40FCE1AC-8AF3-4F88-207E-A73EF7F2BD1C,Bone 9415,http://opencontext.org/projects/02594C48-7497-40D7-11AE-AB942DC513B8,Çatalhöyük Area TP Zooarchaeology,"Arek Marciniak, Kamilla Pawlowska",Turkey,Çatalhöyük,Mound East,Area TP,Unit 10925,http://opencontext.org/subjects/29A3A559-5658-409B-F3E5-8AB88770A153,37.668196,32.827191,8150,7950,,,,,,,,,,,,,,,,Indeterminate,Coronoid process area,,,,,,,,,,,,,,,,,Indeterminate,Indeterminate,Indeterminate,Indeterminate,,
http://opencontext.org/subjects/5839E09F-D8DA-41C7-A0F3-DF9C91D39D0C,Bone 9416,http://opencontext.org/projects/02594C48-7497-40D7-11AE-AB942DC513B8,Çatalhöyük Area TP Zooarchaeology,"Arek Marciniak, Kamilla Pawlowska",Turkey,Çatalhöyük,Mound East,Area TP,Unit 10925,http://opencontext.org/subjects/29A3A559-5658-409B-F3E5-8AB88770A153,37.668196,32.827191,8150,7950,,,,,,,,,,,,,,,,Indeterminate,Coronoid process area,,,,,,,,,,,,,,,,,Indeterminate,Indeterminate,Indeterminate,Indeterminate,,
http://opencontext.org/subjects/9560A227-A20B-4BB3-8003-B06FE7729236,Bone 9417,http://opencontext.org/projects/02594C48-7497-40D7-11AE-AB942DC513B8,Çatalhöyük Area TP Zooarchaeology,"Arek Marciniak, Kamilla Pawlowska",Turkey,Çatalhöyük,Mound East,Area TP,Unit 10925,http://opencontext.org/subjects/29A3A559-5658-409B-F3E5-8AB88770A153,37.668196,32.827191,8150,7950,,,,,,,,,,,,,,,,Indeterminate,Indeterminate,,,,,,,,,,,,,,,,,Lower deciduous,Canine,,Indeterminate,Very heavy wear (about to shed),
http://opencontext.org/subjects/74CF9C39-642B-4641-5D05-8BFBE2156C86,Bone 9418,http://opencontext.org/projects/02594C48-7497-40D7-11AE-AB942DC513B8,Çatalhöyük Area TP Zooarchaeology,"Arek Marciniak, Kamilla Pawlowska",Turkey,Çatalhöyük,Mound East,Area TP,Unit 10925,http://opencontext.org/subjects/29A3A559-5658-409B-F3E5-8AB88770A153,37.668196,32.827191,8150,7950,,,,,,,,,,,,,,,,Indeterminate,Indeterminate,,,,,,,,,,,,,,,,,Lower deciduous,Premolar,2,Open,Unworn/erupting,
