Open Context URI,Item label,Project URI,Project name,Related person(s),Context (1),Context (2),Context (3),Context URI,Latitude (WGS84),Longitude (WGS84),Early (Cal. BP),Late (Cal. BP),Has Biological Taxonomy [URI],Has Biological Taxonomy [Label],Has Biological Taxonomy [Source value],Has anatomical identification [URI],Has anatomical identification [Label],Has anatomical identification [Source value],Has physiological sex determination [URI],Has physiological sex determination [Label],Has physiological sex determination [Source value],Has fusion character (distal) [URI],Has fusion character (distal) [Label],Has fusion character (distal) [Source value],Has fusion character (proximal) [URI],Has fusion character (proximal) [Label],Has fusion character (proximal) [Source value],Sorting Number [Source],Excavation Method [Source],Mammal [Source],Mollusk [Source],Nisp [Source],Weight [Source],Element [Source],Cranial Protion [Source],Mandibular Portion [Source],Vertebral Portion [Source],Stylopod [Source],Carpal/tarsal [Source],Phalanx [Source],Body Size [Source],Side [Source],Side (english) [Source],Refit? [Source],Sex [Source],Tooth Wear (grant) [Source],Payne (1973) Mandible Wear Stage [Source],Fusion Status [Source],Part Burned [Source],Burning- Brown [Source],Burning- Black [Source],Burning- Grey [Source],Chopping [Source],Cut Marks [Source],Carnivore Gnawing [Source],# Of Complete Bones [Source],# Of Fragments [Source],Proximal Present [Source],Proximal and Shaft Present [Source],Mid-shaft Present [Source],Shaft and Distal Present [Source],Distal Present [Source],Cranial Present [Source],Caudal Present [Source],Medial Present [Source],Lateral Present [Source],Dorsal Present [Source],Dorsal and Middle Present [Source],Middle and Ventral Present [Source],Ventral Present [Source],Scapula Measurement Klc [Source],Scapula Measurement Glp [Source],Lg [Source],Bg [Source],Gl [Source],Gll [Source],Glpe [Source],Bp [Source],Gb [Source],Dp [Source],Tc [Source],Sd [Source],Cd [Source],Bd [Source],Humerus Height Of Trochlea [Source],Humerus Breadth Of Trochlea [Source],Dd [Source],Ulna Measurement Tpa [Source],Ulna Measurement Kto [Source],Bpc [Source],Cox_la [Source],Cox_kb [Source],Cox_kh [Source],Cox_ku [Source],Height Mandible In Front Of M1 [Source],Length Praemolar Row [Source],Length Molar Row [Source],Gldp4 [Source],Gbdp4 [Source],Glm1 [Source],Gbm1 [Source],Gbm2 [Source],Glm3 [Source],Gbm3 [Source],Circumfer_horncore_bas [Source],Oroabo_horncore [Source],Dorsobasal_horncore [Source],Moll_gl [Source],Moll_gh [Source],Moll_gb [Source],Moll_breadth Mouth [Source],Moll_heigth Mouth [Source]
http://opencontext.org/subjects/9ECDC144-17F4-4017-532C-2DA348218706,Bone 1,http://opencontext.org/projects/BC90D462-6639-4087-8527-6BB9E528E07D,Çukuriçi Höyük Zooarchaeology,Alfred Galik,Turkey,Çukuriçi Höyük,Phase VIII,http://opencontext.org/subjects/372B72B1-2B6B-4C39-5EF6-CD10C7E74B28,37.929167,27.359444,8150,7950,http://eol.org/pages/328699,"Bos taurus Linnaeus, 1758",Bos primigenius f. taur.,http://purl.obolibrary.org/obo/UBERON_0003267,tooth of upper jaw,dens sup.,,,,,,,,,,1.0E-5,hand collected,Bos primigenius f. taur.,,1,27.7,dens sup.,m2,,,,,,mid size,sin,Left,,,m2d-f,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/588D07D5-8124-4F40-5FA4-D6C49306541B,Bone 2,http://opencontext.org/projects/BC90D462-6639-4087-8527-6BB9E528E07D,Çukuriçi Höyük Zooarchaeology,Alfred Galik,Turkey,Çukuriçi Höyük,Phase VIII,http://opencontext.org/subjects/372B72B1-2B6B-4C39-5EF6-CD10C7E74B28,37.929167,27.359444,8150,7950,http://eol.org/pages/328699,"Bos taurus Linnaeus, 1758",Bos primigenius f. taur.,http://purl.obolibrary.org/obo/UBERON_0003268,tooth of lower jaw,dens inf.,,,,,,,,,,1.0E-5,hand collected,Bos primigenius f. taur.,,1,15.5,dens inf.,,m2,,,,,mid size,dext,Right,,,m2g-j,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/DE97213C-A605-4819-64D6-32056FC8CD7B,Bone 3,http://opencontext.org/projects/BC90D462-6639-4087-8527-6BB9E528E07D,Çukuriçi Höyük Zooarchaeology,Alfred Galik,Turkey,Çukuriçi Höyük,Phase VIII,http://opencontext.org/subjects/372B72B1-2B6B-4C39-5EF6-CD10C7E74B28,37.929167,27.359444,8150,7950,http://eol.org/pages/328699,"Bos taurus Linnaeus, 1758",Bos primigenius f. taur.,http://purl.obolibrary.org/obo/UBERON_0006849,scapula,Scapula,,,,http://opencontext.org/vocabularies/open-context-zooarch/zoo-0058,Distal epiphysis unfused,dE_uf,,,,1.0E-5,hand collected,Bos primigenius f. taur.,,1,44.2,Scapula,,,,,,,,dext,Right,,,,,dE_uf,,,,,,,,,1,,,,1,,,,,,,,,,26.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/6080ACA3-6ED4-4F10-18A6-F4C23BE5FFC0,Bone 4,http://opencontext.org/projects/BC90D462-6639-4087-8527-6BB9E528E07D,Çukuriçi Höyük Zooarchaeology,Alfred Galik,Turkey,Çukuriçi Höyük,Phase VIII,http://opencontext.org/subjects/372B72B1-2B6B-4C39-5EF6-CD10C7E74B28,37.929167,27.359444,8150,7950,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra,http://purl.obolibrary.org/obo/UBERON_0002347,thoracic vertebra,Vert. thor.,,,,,,,,,,1.0E-5,hand collected,Ovis/Capra,,1,3,Vert. thor.,,,V.thor.P.spin.,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/C78727B7-46AC-4A99-BD78-878142B4509D,Bone 5,http://opencontext.org/projects/BC90D462-6639-4087-8527-6BB9E528E07D,Çukuriçi Höyük Zooarchaeology,Alfred Galik,Turkey,Çukuriçi Höyük,Phase VIII,http://opencontext.org/subjects/372B72B1-2B6B-4C39-5EF6-CD10C7E74B28,37.929167,27.359444,8150,7950,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra,http://purl.obolibrary.org/obo/UBERON_0002347,thoracic vertebra,Vert. thor.,,,,,,,,,,1.0E-5,hand collected,Ovis/Capra,,1,4.7,Vert. thor.,,,V.thor.WD,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/3DBD78E2-D35A-4A4F-0680-AB4A51AC2ADB,Bone 6,http://opencontext.org/projects/BC90D462-6639-4087-8527-6BB9E528E07D,Çukuriçi Höyük Zooarchaeology,Alfred Galik,Turkey,Çukuriçi Höyük,Phase VIII,http://opencontext.org/subjects/372B72B1-2B6B-4C39-5EF6-CD10C7E74B28,37.929167,27.359444,8150,7950,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra,http://purl.obolibrary.org/obo/UBERON_0002414,lumbar vertebra,Vert. lumb.,,,,,,,,,,1.0E-5,hand collected,Ovis/Capra,,1,5.9,Vert. lumb.,,,V.lumb.P.transv.,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/FF59936B-2D9D-4C4B-B54B-679180D6BE21,Bone 7,http://opencontext.org/projects/BC90D462-6639-4087-8527-6BB9E528E07D,Çukuriçi Höyük Zooarchaeology,Alfred Galik,Turkey,Çukuriçi Höyük,Phase VIII,http://opencontext.org/subjects/372B72B1-2B6B-4C39-5EF6-CD10C7E74B28,37.929167,27.359444,8150,7950,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra,http://purl.obolibrary.org/obo/UBERON_0002228,rib,Costa,,,,,,,,,,1.0E-5,hand collected,Ovis/Capra,,1,3.6,Costa,,,C.vera,,,,,dext,Right,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/39807AE6-E3AD-4838-7B00-9B0EE942CB49,Bone 8,http://opencontext.org/projects/BC90D462-6639-4087-8527-6BB9E528E07D,Çukuriçi Höyük Zooarchaeology,Alfred Galik,Turkey,Çukuriçi Höyük,Phase VIII,http://opencontext.org/subjects/372B72B1-2B6B-4C39-5EF6-CD10C7E74B28,37.929167,27.359444,8150,7950,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra,http://purl.obolibrary.org/obo/UBERON_0002228,rib,Costa,,,,,,,,,,1.0E-5,hand collected,Ovis/Capra,,1,2.5,Costa,,,C.vera,,,,,sin,Left,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/5E9ACB13-46DB-4DFF-B8FD-03D79FC918CA,Bone 9,http://opencontext.org/projects/BC90D462-6639-4087-8527-6BB9E528E07D,Çukuriçi Höyük Zooarchaeology,Alfred Galik,Turkey,Çukuriçi Höyük,Phase VIII,http://opencontext.org/subjects/372B72B1-2B6B-4C39-5EF6-CD10C7E74B28,37.929167,27.359444,8150,7950,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra,http://purl.obolibrary.org/obo/UBERON_0002228,rib,Costa,,,,,,,,,,1.0E-5,hand collected,Ovis/Capra,,1,4,Costa,,,C.vera,,,,,dext,Right,,,,,E_uf/f,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/3E10D1C1-547F-4BFF-CC8D-DFB91ACAFAA7,Bone 10,http://opencontext.org/projects/BC90D462-6639-4087-8527-6BB9E528E07D,Çukuriçi Höyük Zooarchaeology,Alfred Galik,Turkey,Çukuriçi Höyük,Phase VIII,http://opencontext.org/subjects/372B72B1-2B6B-4C39-5EF6-CD10C7E74B28,37.929167,27.359444,8150,7950,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra,http://purl.obolibrary.org/obo/UBERON_0002228,rib,Costa,,,,,,,,,,1.0E-5,hand collected,Ovis/Capra,,1,4.4,Costa,,,C.vera,,,,,sin,Left,,,,,E_uf/f,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
