Open Context URI,Item label,Project URI,Project name,Related person(s),Context (1),Context (2),Context (3),Context (4),Context URI,Latitude (WGS84),Longitude (WGS84),Early (Cal. BP),Late (Cal. BP),Has anatomical identification [URI],Has anatomical identification [Label],Has anatomical identification [Source value],Has Biological Taxonomy [URI],Has Biological Taxonomy [Label],Has Biological Taxonomy [Source value],Has physiological sex determination [URI],Has physiological sex determination [Label],Has physiological sex determination [Source value],Has fusion character (distal) [URI],Has fusion character (distal) [Label],Has fusion character (distal) [Source value],Has fusion character (proximal) [URI],Has fusion character (proximal) [Label],Has fusion character (proximal) [Source value],Archaeological Horizon [Source],Osteo Id [Source],Taxonomic Id [Source],Articulation [Source],Symmetry [Source],Sex [Source],Pathology [Source],Number Of Fragments [Source],Number Of Elements [Source],Proximaldistal [Source],Fusion Proximal [Source],Fusion Distal [Source],Completeness Of Element [Source],Completeness Of Portion [Source],Fragmentation [Source],Maxilla With Teeth [Source],Mandible Fragment [Source],Mandible With Teeth [Source],Tooth Type [Source],Tooth Class [Source],Tooth Number [Source],dP4 [Source],P4 [Source],M1 [Source],M2 [Source],M3 [Source],Length of dP4 at occlusal surface [Source],Distal depth on medial side (L) Legge's TD [Source],Greatest breadth of the proximal end (trochlea) [Source],Length of M3 at occlusal surface [Source],Greatest lateral depth [Source],"Height of the collum of the trochlea, central groove (HTC) [Source]",Depth of the lateral verticillus (B) [Source],Length of the glenoid cavity-including cranial lip (LP) [Source],Breadth of acetabulum [Source],Height of M1on lingual side from apex to occlusal surface between the first two cusps [Source],Greatest breadth over the wings (GLF) [Source],Height across dorsal to ventral arch (H) [Source],Depth of the lateral trochlear condyle (B) [Source],Breadth of dP4 at occlusal surface [Source],Height of M2 on lingual side from apex to occlusal surface between the first two cusps [Source],Breadth of M3 at occlusal surface [Source],Minimum height of neck-from base of spine to articular surface [Source],Height from the base line at rest [Source],Greatest length without epiphysis [Source],Greatest breadth of facies articularis cranialis (BFcr) [Source],Maximum H of M3 on buccal side of anterior cusp from enamel-dentin junction to occlusal surface [Source],Basal breadth of M3 [Source],Greatest breadth of facies articularis caudalis (BFcd) [Source],Breadth [Source],Depth of the medial verticillus (B) [Source],Breadth of the third cusp (posterior) of M3 (for O/C) [Source],Depth of the distal end-- flat against anterior side [Source],Middle breadth of the sole (MBS) [Source],Maximum H of M1 on buccal side of anterior cusp from enamel-dentin junction to occlusal surface [Source],Height of M3 on lingual side from apex to occlusal surface between the first two cusps [Source],Basal length of M3 [Source],Width of the lateral condyle (P) [Source],Basal breadth of dP4 [Source],"Basal length of dP4: base at crown, maximum length of the enamel [Source]",Width of the medial condyle (P) [Source],Depth of the medial trochlear condyle (B) [Source],Maximum H of dP4 on buccal side of anterior cusp from enamel dentin junction to occlusal surface [Source],Greatest breadth of the trochlea (BT) [Source],Greatest breadth of the facies articularis proximalis (BFp) [Source],Greatest length of the lateral half (GLl) [Source],Greatest depth of the medial half (Dm) [Source],Depth of the proximal end (equids) (Dp) [Source],Greatest length (GL) [Source],Greatest depthof the lateral half (Dl) [Source],Greatest breadth of facies articularis didtalis (BFd) [Source],Greatest depth of the distal end (Dd) [Source],Smallest length of collum scapulae (SLC) [Source],Greatest length of the medial half (GLm) [Source],Greatest diagonal length of the sole (DLS) [Source],Greatest breadth of the proximal end (Bp) [Source],Breadth of the glenoid cavity (BG) [Source],Greatest breadth of the distal end (Bd) [Source],Length of the dorsal surface (Ld) [Source],Greatest length of the peripheral/abaxial half (GLpe) [Source],Greatest depth of the proximal end (Dp) [Source],Length of olecranon (only in ruminants) (LO) [Source],Length of acetabulum including the lip (LA) [Source],Greatest length of the processus gleonidalis (GLP) [Source],Greatest breadth across the coronoid process (BPC) [Source],Smallest depth of the olecranon (SDO) [Source],Depth across the processus anconeus (BPC) [Source]
http://opencontext.org/subjects/A8A2A5B2-A727-42D8-8BA5-052018CDBE33,Bone D1416-1,http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5,Zooarchaeology of Karain Cave B,Levent Atici,Turkey,Karain B Cave,PI.1,Square D14,http://opencontext.org/subjects/9C14FD61-5111-4069-82C6-70841CD353DC,37.077589,30.5708,19800,19000,http://purl.obolibrary.org/obo/UBERON_0000976,humerus,Humerus,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra,,,,http://opencontext.org/vocabularies/open-context-zooarch/zoo-0057,Distal epiphysis fused,Fused,,,,16,Humerus,Ovis/Capra,Separate,Left,Nonidentified,No pathology,1,1,Distal,Not applicable,Fused,"> 1/4, but < 1/2",Complete,End only,,,,,,,,,,,,,22,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8,,,,,,,,,,,,,,36,,,,,,,,,
http://opencontext.org/subjects/866B43A4-87D1-469A-D54C-88C643F9A853,Bone D1417-1,http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5,Zooarchaeology of Karain Cave B,Levent Atici,Turkey,Karain B Cave,PI.1,Square D14,http://opencontext.org/subjects/9C14FD61-5111-4069-82C6-70841CD353DC,37.077589,30.5708,19800,19000,http://purl.obolibrary.org/obo/UBERON_0001424,ulna,Ulna,http://eol.org/pages/695,Aves,Large bird,,,,,,,,,,17,Ulna,Large bird,Separate,Not applicable,Nonidentified,No pathology,1,0,Shaft,Not applicable,Not applicable,Not applicable,Not applicable,Cylinder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/936C35AA-D8C3-4B52-54DC-C2D124B133E0,Bone F1318-1,http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5,Zooarchaeology of Karain Cave B,Levent Atici,Turkey,Karain B Cave,PI.1,Square F13,http://opencontext.org/subjects/790F2455-5F9E-4AA9-BC8E-B2FBC6A809A4,37.077589,30.5708,19800,19000,http://purl.obolibrary.org/obo/UBERON_0001092,cervical vertebra 1,Atlas,http://eol.org/pages/11021638,Ovis orientalis,Ovis orientalis,http://purl.obolibrary.org/obo/UBERON_0003100,female organism,Female,,,,,,,18,Atlas,Ovis orientalis,"Articulated with #3, weighed separately",Central,Female,No pathology,1,1,Not applicable,Not applicable,Not applicable,Complete,Complete,Not applicable,,,,,,,,,,,,,,,,,,,,,,49.8,41.6,,,,,,,,54.1,,,45.9,,,,,,,,,,,,,,,,,,,,60.3,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/97259786-4939-46DA-CABE-2A0110A5A88E,Bone F1319-1,http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5,Zooarchaeology of Karain Cave B,Levent Atici,Turkey,Karain B Cave,PI.1,Square F13,http://opencontext.org/subjects/790F2455-5F9E-4AA9-BC8E-B2FBC6A809A4,37.077589,30.5708,19800,19000,http://purl.obolibrary.org/obo/UBERON_0006971,antler,Antler,http://eol.org/pages/15610,Capreolus,Capreolus capreolus,http://purl.obolibrary.org/obo/UBERON_0003101,male organism,Male,,,,,,,19,Antler,Capreolus capreolus,Separate,Not applicable,Male,No pathology,1,1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/86EB3C94-8197-44A8-DE73-55DE60D3BDE4,Bone F1320-1,http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5,Zooarchaeology of Karain Cave B,Levent Atici,Turkey,Karain B Cave,PI.1,Square F13,http://opencontext.org/subjects/790F2455-5F9E-4AA9-BC8E-B2FBC6A809A4,37.077589,30.5708,19800,19000,http://purl.obolibrary.org/obo/UBERON_0001684,mandible,Mandible with teeth,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra,,,,,,,,,,20,Mandible with teeth,Ovis/Capra,Separate,Left,Nonidentified,No pathology,1,1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,P3-M3,,,,,EFGHI,DEF,EFG,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/6AB0E636-D085-43E1-794F-B3D83B25F415,Bone G1216-1,http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5,Zooarchaeology of Karain Cave B,Levent Atici,Turkey,Karain B Cave,PI.1,Square G12,http://opencontext.org/subjects/FD270D9E-CCBA-4D85-09BC-17A64C6BDEB5,37.077589,30.5708,19800,19000,http://purl.obolibrary.org/obo/UBERON_0003268,tooth of lower jaw,Loose mandibular tooth,http://eol.org/pages/11021638,Ovis orientalis,Ovis orientalis,,,,,,,,,,16,Loose mandibular tooth,Ovis orientalis,Separate,Left,Nonidentified,No pathology,1,1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,Lower deciduous,Premolar,4,BC,,,,,21,,,,,,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/1BFDA60F-17DC-445C-572E-8268D06BEE1B,Bone G1217-1,http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5,Zooarchaeology of Karain Cave B,Levent Atici,Turkey,Karain B Cave,PI.1,Square G12,http://opencontext.org/subjects/FD270D9E-CCBA-4D85-09BC-17A64C6BDEB5,37.077589,30.5708,19800,19000,http://purl.obolibrary.org/obo/UBERON_0001684,mandible,Mandible with teeth,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra,,,,,,,,,,17,Mandible with teeth,Ovis/Capra,Separate,Left,Nonidentified,No pathology,1,1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,P3-M2,,,,,EFGHI,GHI,EFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/71E0EF7F-1A2B-4E8B-C165-2E73B3783787,Bone G1317-1,http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5,Zooarchaeology of Karain Cave B,Levent Atici,Turkey,Karain B Cave,PI.1,Square G13,http://opencontext.org/subjects/8ECF8742-FA42-4AAF-AAD8-E336D618CBB7,37.077589,30.5708,19800,19000,http://purl.obolibrary.org/obo/UBERON_0001684,mandible,Mandible with teeth,http://eol.org/pages/11021638,Ovis orientalis,Ovis orientalis,,,,,,,,,,17,Mandible with teeth,Ovis orientalis,Separate,Left,Nonidentified,No pathology,1,1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,dP2-4,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/FEB8CE82-FD2F-4604-7BEA-F88381843463,Bone G1318-1,http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5,Zooarchaeology of Karain Cave B,Levent Atici,Turkey,Karain B Cave,PI.1,Square G13,http://opencontext.org/subjects/8ECF8742-FA42-4AAF-AAD8-E336D618CBB7,37.077589,30.5708,19800,19000,http://purl.obolibrary.org/obo/UBERON_0000979,tibia,Tibia,http://eol.org/pages/11021638,Ovis orientalis,Ovis orientalis,,,,http://opencontext.org/vocabularies/open-context-zooarch/zoo-0057,Distal epiphysis fused,Fused,http://opencontext.org/vocabularies/open-context-zooarch/zoo-0069,Proximal epiphysis fused,Fused,18,Tibia,Ovis orientalis,Separate,Left,Nonidentified,No pathology,1,1,Complete,Fused,Fused,Complete,Complete,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1,,,,,,,,,,,,,,,,,,,21.5,,,,38,,27.4,,,,,,,,,
http://opencontext.org/subjects/F1406CB1-B413-459A-57AA-32ED9A80933E,Bone C1417-1,http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5,Zooarchaeology of Karain Cave B,Levent Atici,Turkey,Karain B Cave,PI.2,Square C14,http://opencontext.org/subjects/4D3BD92A-B7FB-4C21-BBD5-83FD73A8D6C2,37.077589,30.5708,19800,19000,http://purl.obolibrary.org/obo/UBERON_0006967,horn,Horncore,http://eol.org/pages/4447460,Capra aegagrus,Capra aegagrus,http://purl.obolibrary.org/obo/UBERON_0003101,male organism,Male,,,,,,,17,Horncore,Capra aegagrus,Separate,Not applicable,Male,No pathology,1,1,Not applicable,Not applicable,Not applicable,Nonidentified,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
