Open Context URI,Item label,Project URI,Project name,Related person(s),Context (1),Context (2),Context (3),Context (4),Context (5),Context URI,Latitude (WGS84),Longitude (WGS84),Early (Cal. BP),Late (Cal. BP),Has anatomical identification [URI],Has anatomical identification [Label],Has anatomical identification [Source value],Has Biological Taxonomy [URI],Has Biological Taxonomy [Label],Has Biological Taxonomy [Source value],Has fusion character (distal) [URI],Has fusion character (distal) [Label],Has fusion character (distal) [Source value],Has fusion character (proximal) [URI],Has fusion character (proximal) [Label],Has fusion character (proximal) [Source value],Has physiological sex determination [URI],Has physiological sex determination [Label],Has physiological sex determination [Source value],Taxon [Source],Element [Source],Side [Source],Proximal Fusion [Source],Distal Fusion [Source],Reference [Source],Year [Source],Retrieval Method [Source],Species [Source],Species Comment [Source],Part [Source],Size [Source],Age Data [Source],Retrieval % [Source],Volume [Source],Mesh Size [Source],Sex [Source],Weight [Source],Comments [Source],Fusion stages [Source],Number of Elements [Source],Sample No [Source],Age group [Source],Cutmarks [Source],Stratum [Source],Bd [Source],SD [Source],Bp [Source],Bp (unfused) [Source],GL [Source],GL (unfused) [Source],Dp (unfused) [Source],GB [Source],Bd (unfused) [Source],BFp [Source],Dl [Source],Dm [Source],Dp [Source],GB (unfused) [Source],GL1 [Source],GLm [Source]
http://opencontext.org/subjects/TESTSPA0000003725,Bone Ref# 1,http://opencontext.org/projects/TESTPRJ0000000004,Pınarbaşı 1994: Animal Bones,Denise Carruthers,Turkey,Pınarbaşı,Site A,Stratum 1,Context ABU,http://opencontext.org/subjects/TESTSPA0000003432,37.493962,33.016928,14450,9450,http://purl.obolibrary.org/obo/UBERON_0000979,tibia,Tibia,http://eol.org/pages/11021570,Bos primigenius,primigenius,http://opencontext.org/vocabularies/open-context-zooarch/zoo-0057,Distal epiphysis fused,distal fused,,,,,,,Bos primigenius,Tibia,Right,,distal fused,1,PB 94,Floatation,primigenius,Bos,Distal end fragment,>10 cm,Distal end fused,100,280,5,,191.6,split longitudinally,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/TESTSPA0000005821,Bone Ref# 2,http://opencontext.org/projects/TESTPRJ0000000004,Pınarbaşı 1994: Animal Bones,Denise Carruthers,Turkey,Pınarbaşı,Site A,Stratum 1,Context ABU,http://opencontext.org/subjects/TESTSPA0000003432,37.493962,33.016928,14450,9450,http://purl.obolibrary.org/obo/UBERON_0001092,cervical vertebra 1,Atlas,http://eol.org/pages/39510,Ovis,Ovis sp.,,,,,,,,,,Ovis sp.,Atlas,NA,,,2,PB 94,Floatation,Unknown,Ovis,Almost Complete,5-10 cm,Fused,100,280,5,Female ?,61.6,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/TESTSPA0000003969,Bone Ref# 3,http://opencontext.org/projects/TESTPRJ0000000004,Pınarbaşı 1994: Animal Bones,Denise Carruthers,Turkey,Pınarbaşı,Site A,Stratum 1,Context ABU,http://opencontext.org/subjects/TESTSPA0000003432,37.493962,33.016928,14450,9450,http://purl.obolibrary.org/obo/UBERON_0006849,scapula,Scapula,http://eol.org/pages/328649,"Cervus elaphus Linnaeus, 1758",Cervus elaphus,http://opencontext.org/vocabularies/open-context-zooarch/zoo-0057,Distal epiphysis fused,distal fused,,,,,,,Cervus elaphus,Scapula,Left,,distal fused,3,PB 94,Floatation,Unknown,Cervid,Distal end fragment,5-10 cm,Fused,100,280,5,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/TESTSPA0000003652,Bone Ref# 4,http://opencontext.org/projects/TESTPRJ0000000004,Pınarbaşı 1994: Animal Bones,Denise Carruthers,Turkey,Pınarbaşı,Site A,Stratum 1,Context ABU,http://opencontext.org/subjects/TESTSPA0000003432,37.493962,33.016928,14450,9450,http://purl.obolibrary.org/obo/UBERON_0001479,sesamoid bone,Sesamoid Bone,http://eol.org/pages/11021570,Bos primigenius,primigenius,,,,,,,,,,Bos primigenius,Sesamoid Bone,NA,,,4,PB 94,Floatation,primigenius,Bos,Complete Proximal bone,2-5 cm,,100,280,5,,7,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/TESTSPA0000004121,Bone Ref# 5,http://opencontext.org/projects/TESTPRJ0000000004,Pınarbaşı 1994: Animal Bones,Denise Carruthers,Turkey,Pınarbaşı,Site A,Stratum 1,Context ABU,http://opencontext.org/subjects/TESTSPA0000003432,37.493962,33.016928,14450,9450,http://purl.obolibrary.org/obo/UBERON_0003268,tooth of lower jaw,Mandibular Tooth,http://eol.org/pages/1670,Equidae,Equus sp.,,,,,,,,,,Equus sp.,Mandibular Tooth,Right,,,5,PB 94,Floatation,Unknown,Equus,Fragment M1 or M2,5-10 cm,High crowned,100,280,5,,26.6,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/TESTSPA0000004122,Bone Ref# 6,http://opencontext.org/projects/TESTPRJ0000000004,Pınarbaşı 1994: Animal Bones,Denise Carruthers,Turkey,Pınarbaşı,Site A,Stratum 1,Context ABU,http://opencontext.org/subjects/TESTSPA0000003432,37.493962,33.016928,14450,9450,http://purl.obolibrary.org/obo/UBERON_0003267,tooth of upper jaw,Maxillary Tooth,http://eol.org/pages/1670,Equidae,Equus sp.,,,,,,,,,,Equus sp.,Maxillary Tooth,Right,,,6,PB 94,Floatation,Unknown,Equus,Fragment,5-10 cm,High crowned,100,280,5,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/TESTSPA0000003653,Bone Ref# 7,http://opencontext.org/projects/TESTPRJ0000000004,Pınarbaşı 1994: Animal Bones,Denise Carruthers,Turkey,Pınarbaşı,Site A,Stratum 1,Context ABU,http://opencontext.org/subjects/TESTSPA0000003432,37.493962,33.016928,14450,9450,http://purl.obolibrary.org/obo/UBERON_0001447,tarsal bone,Tarsal Bone,http://eol.org/pages/11021570,Bos primigenius,primigenius,,,,,,,,,,Bos primigenius,Tarsal Bone,Left,,,7,PB 94,Floatation,primigenius,Bos ?,Complete lateral malleolus,2-5 cm,,100,280,5,,18.6,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/TESTSPA0000004662,Bone Ref# 8,http://opencontext.org/projects/TESTPRJ0000000004,Pınarbaşı 1994: Animal Bones,Denise Carruthers,Turkey,Pınarbaşı,Site A,Stratum 1,Context ABU,http://opencontext.org/subjects/TESTSPA0000003432,37.493962,33.016928,14450,9450,http://purl.obolibrary.org/obo/UBERON_0001272,innominate bone,Innominate,,,,,,,,,,,,,Not Identifiable,Innominate,Right,,,8,PB 94,Floatation,Unknown,Not Identifiable,Fragment of ischium,2-5 cm,Unfused,100,280,5,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/TESTSPA0000003654,Bone Ref# 9,http://opencontext.org/projects/TESTPRJ0000000004,Pınarbaşı 1994: Animal Bones,Denise Carruthers,Turkey,Pınarbaşı,Site A,Stratum 1,Context ABU,http://opencontext.org/subjects/TESTSPA0000003432,37.493962,33.016928,14450,9450,http://purl.obolibrary.org/obo/UBERON_0001435,carpal bone,Carpal Bone,http://eol.org/pages/11021570,Bos primigenius,primigenius,,,,,,,,,,Bos primigenius,Carpal Bone,Left,,,9,PB 94,Floatation,primigenius,Bos,Intermediate Carpal Bone Amost Complete,2-5 cm,,100,280,5,,29.9,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/TESTSPA0000003655,Bone Ref# 10,http://opencontext.org/projects/TESTPRJ0000000004,Pınarbaşı 1994: Animal Bones,Denise Carruthers,Turkey,Pınarbaşı,Site A,Stratum 1,Context ABU,http://opencontext.org/subjects/TESTSPA0000003432,37.493962,33.016928,14450,9450,http://purl.obolibrary.org/obo/UBERON_0001435,carpal bone,Carpal Bone,http://eol.org/pages/11021570,Bos primigenius,primigenius,,,,,,,,,,Bos primigenius,Carpal Bone,Right,,,10,PB 94,Floatation,primigenius,Bos,Fragment II & III,2-5 cm,Adult?,100,280,5,,18.8,Sliced through middle,,,,,,,,,,,,,,,,,,,,,,
